time,lon,lat,ssrd (J/m²)
2016-01-10,121.5,24.0,6142976
2016-01-10,121.75,24.0,6273024
2016-01-10,122.0,24.0,6752256
2016-01-10,122.25,24.0,7142400
2016-01-10,122.5,24.0,7154688
2016-01-10,122.75,24.0,6999040
2016-01-10,123.0,24.0,6820864
2016-01-10,119.0,23.75,9600000
2016-01-10,119.25,23.75,9832448
2016-01-10,119.5,23.75,10176512
2016-01-10,119.75,23.75,10586112
2016-01-10,120.0,23.75,10927104
2016-01-10,120.25,23.75,11204608
2016-01-10,120.5,23.75,11127808
2016-01-10,120.75,23.75,10273792
2016-01-10,121.0,23.75,8737792
2016-01-10,121.25,23.75,6931456
2016-01-10,121.5,23.75,5271552
2016-01-10,121.75,23.75,5580800
2016-01-10,122.0,23.75,6297600
2016-01-10,122.25,23.75,6894592
2016-01-10,122.5,23.75,7166976
2016-01-10,122.75,23.75,7191552
2016-01-10,123.0,23.75,7184384
2016-01-10,119.0,23.5,9683968
2016-01-10,119.25,23.5,9999360
2016-01-10,119.5,23.5,10347520
2016-01-10,119.75,23.5,10684416
2016-01-10,120.0,23.5,10893312
2016-01-10,120.25,23.5,11260928
2016-01-10,120.5,23.5,11122688
2016-01-10,120.75,23.5,10259456
2016-01-10,121.0,23.5,8724480
2016-01-10,121.25,23.5,6804480
2016-01-10,121.5,23.5,5066752
2016-01-10,121.75,23.5,5442560
2016-01-10,122.0,23.5,6193152
2016-01-10,122.25,23.5,6842368
2016-01-10,122.5,23.5,7249920
2016-01-10,122.75,23.5,7387136
2016-01-10,123.0,23.5,7502848
2016-01-10,119.0,23.25,9738240
2016-01-10,119.25,23.25,10045440
2016-01-10,119.5,23.25,10348544
2016-01-10,119.75,23.25,10438656
2016-01-10,120.0,23.25,10454016
2016-01-10,120.25,23.25,10634240
2016-01-10,120.5,23.25,10322944
2016-01-10,120.75,23.25,9564160
2016-01-10,121.0,23.25,8591360
2016-01-10,121.25,23.25,7111680
2016-01-10,121.5,23.25,6218752
2016-01-10,121.75,23.25,6537216
2016-01-10,122.0,23.25,7042048
2016-01-10,122.25,23.25,7288832
2016-01-10,122.5,23.25,7549952
2016-01-10,122.75,23.25,7568384
2016-01-10,123.0,23.25,7615488
2016-01-10,119.0,23.0,9732096
2016-01-10,119.25,23.0,10021888
2016-01-10,119.5,23.0,10121216
2016-01-10,119.75,23.0,10141696
2016-01-10,120.0,23.0,9910272
2016-01-10,120.25,23.0,9789440
2016-01-10,120.5,23.0,9464832
2016-01-10,120.75,23.0,8979456
2016-01-10,121.0,23.0,8074240
2016-01-10,121.25,23.0,8001536
2016-01-10,121.5,23.0,7736320
2016-01-10,121.75,23.0,7982080
2016-01-10,122.0,23.0,7917568
2016-01-10,122.25,23.0,8085504
2016-01-10,122.5,23.0,7865344
2016-01-10,122.75,23.0,7806976
2016-01-10,123.0,23.0,7742464
2016-01-10,119.0,22.75,9604096
2016-01-10,119.25,22.75,9796608
2016-01-10,119.5,22.75,9866240
2016-01-10,119.75,22.75,9787392
2016-01-10,120.0,22.75,9574400
2016-01-10,120.25,22.75,9414656
2016-01-10,120.5,22.75,9162752
2016-01-10,120.75,22.75,8837120
2016-01-10,121.0,22.75,8573952
2016-01-10,121.25,22.75,8599552
2016-01-10,121.5,22.75,8797184
2016-01-10,121.75,22.75,8897536
2016-01-10,122.0,22.75,8756224
2016-01-10,122.25,22.75,8544256
2016-01-10,122.5,22.75,8334336
2016-01-10,122.75,22.75,8185856
2016-01-10,123.0,22.75,8120320
2016-01-10,119.0,22.5,9299968
2016-01-10,119.25,22.5,9422848
2016-01-10,119.5,22.5,9504768
2016-01-10,119.75,22.5,9595904
2016-01-10,120.0,22.5,9519104
2016-01-10,120.25,22.5,9449472
2016-01-10,120.5,22.5,9383936
2016-01-10,120.75,22.5,9144320
2016-01-10,121.0,22.5,9071616
2016-01-10,121.25,22.5,9176064
2016-01-10,121.5,22.5,9234432
2016-01-10,121.75,22.5,9179136
2016-01-10,122.0,22.5,9024512
2016-01-10,122.25,22.5,8970240
2016-01-10,122.5,22.5,8763392
2016-01-10,122.75,22.5,8769536
2016-01-10,123.0,22.5,8747008
2016-01-10,119.0,22.25,8945664
2016-01-10,119.25,22.25,9068544
2016-01-10,119.5,22.25,9254912
2016-01-10,119.75,22.25,9399296
2016-01-10,120.0,22.25,9629696
2016-01-10,120.25,22.25,9818112
2016-01-10,120.5,22.25,9815040
2016-01-10,120.75,22.25,9919488
2016-01-10,121.0,22.25,9857024
2016-01-10,121.25,22.25,9532416
2016-01-10,121.5,22.25,9369600
2016-01-10,121.75,22.25,9168896
2016-01-10,122.0,22.25,9160704
2016-01-10,122.25,22.25,9154560
2016-01-10,122.5,22.25,9325568
2016-01-10,122.75,22.25,9359360
2016-01-10,123.0,22.25,9468928
2016-01-10,119.0,22.0,8762368
2016-01-10,119.25,22.0,8860672
2016-01-10,119.5,22.0,9046016
2016-01-10,119.75,22.0,9347072
2016-01-10,120.0,22.0,9736192
2016-01-10,120.25,22.0,10085376
2016-01-10,120.5,22.0,10348544
2016-01-10,120.75,22.0,10460160
2016-01-10,121.0,22.0,10388480
2016-01-10,121.25,22.0,9999360
2016-01-10,121.5,22.0,9550848
2016-01-10,121.75,22.0,9279488
2016-01-10,122.0,22.0,9358336
2016-01-10,122.25,22.0,9551872
2016-01-10,122.5,22.0,9764864
2016-01-10,122.75,22.0,9950208
2016-01-10,123.0,22.0,10114048
2016-01-10,119.0,21.75,8827904
2016-01-10,119.25,21.75,8926208
2016-01-10,119.5,21.75,9093120
2016-01-10,119.75,21.75,9384960
2016-01-10,120.0,21.75,9747456
2016-01-10,120.25,21.75,10098688
2016-01-10,120.5,21.75,10401792
2016-01-10,120.75,21.75,10610688
2016-01-10,121.0,21.75,10591232
2016-01-10,121.25,21.75,10364928
2016-01-10,121.5,21.75,9992192
2016-01-10,121.75,21.75,9772032
2016-01-10,122.0,21.75,9853952
2016-01-10,122.25,21.75,10032128
2016-01-10,122.5,21.75,10215424
2016-01-10,122.75,21.75,10401792
2016-01-10,123.0,21.75,10568704
2016-01-10,119.0,21.5,9066496
2016-01-10,119.25,21.5,9171968
2016-01-10,119.5,21.5,9323520
2016-01-10,119.75,21.5,9554944
2016-01-10,120.0,21.5,9846784
2016-01-10,120.25,21.5,10145792
2016-01-10,120.5,21.5,10433536
2016-01-10,120.75,21.5,10661888
2016-01-10,121.0,21.5,10740736
2016-01-10,121.25,21.5,10645504
2016-01-10,121.5,21.5,10468352
2016-01-10,121.75,21.5,10357760
2016-01-10,122.0,21.5,10401792
2016-01-10,122.25,21.5,10507264
2016-01-10,122.5,21.5,10646528
2016-01-10,122.75,21.5,10803200
2016-01-10,123.0,21.5,10955776
2016-01-10,119.0,21.25,9571328
2016-01-10,119.25,21.25,9677824
2016-01-10,119.5,21.25,9825280
2016-01-10,119.75,21.25,10042368
2016-01-10,120.0,21.25,10311680
2016-01-10,120.25,21.25,10559488
2016-01-10,120.5,21.25,10731520
2016-01-10,120.75,21.25,10876928
2016-01-10,121.0,21.25,10926080
2016-01-10,121.25,21.25,10888192
2016-01-10,121.5,21.25,10848256
2016-01-10,121.75,21.25,10821632
2016-01-10,122.0,21.25,10841088
2016-01-10,122.25,21.25,10900480
2016-01-10,122.5,21.25,11010048
2016-01-10,122.75,21.25,11138048
2016-01-10,123.0,21.25,11274240
2016-01-10,119.0,21.0,10240000
2016-01-10,119.25,21.0,10344448
2016-01-10,119.5,21.0,10492928
2016-01-10,119.75,21.0,10717184
2016-01-10,120.0,21.0,10987520
2016-01-10,120.25,21.0,11170816
2016-01-10,120.5,21.0,11238400
2016-01-10,120.75,21.0,11168768
2016-01-10,121.0,21.0,11163648
2016-01-10,121.25,21.0,11161600
2016-01-10,121.5,21.0,11168768
2016-01-10,121.75,21.0,11191296
2016-01-10,122.0,21.0,11213824
2016-01-10,122.25,21.0,11261952
2016-01-10,122.5,21.0,11332608
2016-01-10,122.75,21.0,11448320
2016-01-10,123.0,21.0,11568128
2016-02-10,119.0,26.0,11036160
2016-02-10,119.25,26.0,10878976
2016-02-10,119.5,26.0,11075584
2016-02-10,119.75,26.0,11510272
2016-02-10,120.0,26.0,11980288
2016-02-10,120.25,26.0,11808256
2016-02-10,120.5,26.0,11500032
2016-02-10,120.75,26.0,11187200
2016-02-10,121.0,26.0,10937344
2016-02-10,121.25,26.0,10760192
2016-02-10,121.5,26.0,10604032
2016-02-10,121.75,26.0,10470912
2016-02-10,122.0,26.0,10332160
2016-02-10,122.25,26.0,10130432
2016-02-10,122.5,26.0,9854464
2016-02-10,122.75,26.0,9531904
2016-02-10,123.0,26.0,9242112
2016-02-10,119.0,25.75,11161088
2016-02-10,119.25,25.75,11039232
2016-02-10,119.5,25.75,11145728
2016-02-10,119.75,25.75,11426304
2016-02-10,120.0,25.75,11734016
2016-02-10,120.25,25.75,11529728
2016-02-10,120.5,25.75,11221504
2016-02-10,120.75,25.75,10905600
2016-02-10,121.0,25.75,10647040
2016-02-10,121.25,25.75,10446336
2016-02-10,121.5,25.75,10273280
2016-02-10,121.75,25.75,10142720
2016-02-10,122.0,25.75,10006528
2016-02-10,122.25,25.75,9803264
2016-02-10,122.5,25.75,9519104
2016-02-10,122.75,25.75,9188352
